lang
{
Language "English"
Revo_Core0.sp_a1_bts_wind_01 "<clr:255,200,109>The central core in charge of maintaining the facility has been... put out of commission."
Revo_Core0.sp_a1_bts_wind_02 "<clr:255,200,109>I tried to look after the place in her absence but I don't have the tools."
Revo_Core0.sp_a1_bts_wind_03 "<clr:255,200,109>Good news though! "
Revo_Core0.sp_a1_bts_wind_04 "<clr:255,200,109>I found better tools. A device capable of repairing the whole enrichment center."
Revo_Core0.sp_a1_bts_wind_05 "<clr:255,200,109>Only problem is that only a human can turn it on, so I hoped maybe you could fill that role for me?"
Revo_Core0.sp_a1_bts_wind_06 "<clr:255,200,109>The life of every human and core in the facility is at risk if we don't stop the collapse."
Revo_Core0.sp_a1_bts_wind_07 "<clr:255,200,109>Come on, let's go. I'll explain the rest on the way."
Revo_Core0.sp_a1_bts_wind_08 "<clr:255,200,109>We need to get closer to the surface. I found an elevator in this direction."
Revo_Core0.sp_a1_bts_wind_09 "<clr:255,200,109>Up ahead is the turret disposal facility. Since they're all defective, they shouldn't be able to hurt you, but still be careful!"
Revo_Core0.sp_a1_bts_wind_11 "<clr:255,200,109>Poor turrets. You might think their pain is only simulated, but how is it different to yours or mine? They really don't deserve to be shredded, but don't worry, all their scrap will be recycled for production, and only surplus turrets get shredded after all."
Revo_Core0.sp_a1_bts_wind_12_0 "<clr:255,200,109>So, I'm looking through your records and I see you have a family! How are the kids?"
Revo_Core0.sp_a1_bts_wind_12_1 "<clr:255,200,109>Oh, oh no..."
Revo_Core0.sp_a1_bts_wind_12_2 "<clr:255,200,109>Uhh. You know what? Forget I asked that..."
Revo_Core0.sp_a1_bts_wind_12_3 "<clr:255,200,109>I... I'm so sorry."
Revo_Core0.sp_a1_bts_wind_30 "<clr:255,200,109>Ah, wind turbines. Of course. Try not to get blown away too much, these things can get supersonic if you turn them up."
Revo_Core0.sp_a1_bts_wind_40 "<clr:255,200,109>Try to find a way to get across that bridge. I'm sure you'll figure it out so I will wait right ahead."

Revo_Core0.sp_a1_bts_wind_2_00 "<clr:255,200,109>How does it feel to be an official Aperture employee? Yeah, must be great..."
Revo_Core0.sp_a1_bts_wind_2_01 "<clr:255,200,109>Though, on that topic, don't try running off without me, okay?"
Revo_Core0.sp_a1_bts_wind_2_02 "<clr:255,200,109>Yes, I made up the Human Emergency Response Team, but so what? It can still be real!"
Revo_Core0.sp_a1_bts_wind_2_03 "<clr:255,200,109>You are a human, this is quite an emergency, and you are responding to it!"
Revo_Core0.sp_a1_bts_wind_2_04 "<clr:255,200,109>Not quite a team yet though, hmm. No, no a team can't consist out of one person. That doesn't make sense."
Revo_Core0.sp_a1_bts_wind_2_05 "<clr:255,200,109>I could get more people, but that seems like a lot of work."
Revo_Core0.sp_a1_bts_wind_2_06 "<clr:255,200,109>You know what? I think we two make a great team in of itself."
Revo_Core0.sp_a1_bts_wind_2_07 "<clr:255,200,109>We might not make a fully human team, but you can't always get what you want. Semi-human? I'll go with that."
Revo_Core0.sp_a1_bts_wind_2_08 "<clr:255,200,109>To get back on topic, here's my proposal. You help me repair the facility and I'll let you leave."
Revo_Core0.sp_a1_bts_wind_2_10 "<clr:255,200,109>Nicely done!"
Revo_Core0.sp_a1_bts_wind_2_11 "<clr:255,200,109>This is a test observation facility. Humans had to sit here all day and watch you test subjects solve the chambers. In real time too! Imagine..."
Revo_Core0.sp_a1_bts_wind_2_13 "<clr:255,200,109>There's another observation room on the other side that can take you to the elevators. I'm sure you can find a way in there. You're pretty resourceful!"
Revo_Core0.sp_a1_bts_wind_2_14 "<clr:255,200,109>Bombs?! Sure, if there is no other way..."
Revo_Core0.sp_a1_bts_wind_2_15 "<clr:255,200,109>Do what you must. Just don't be reckless and only destroy what you need. Any other repairs I'll have to assign back to you."
Revo_Core0.sp_a1_bts_wind_2_16 "<clr:255,200,109>Also try not to die. I'm tired of mopping up human blood. That red never gets out..."
Revo_Core0.sp_a1_bts_wind_2_16_2 "<clr:255,200,109>Also try not to die. I'm tired of mopping up human blood. That red never gets out..."
Revo_Core0.sp_a1_bts_wind_2_20 "<clr:255,200,109>Another thing to add to the never ending Todo list..."
Revo_Core0.sp_a1_bts_wind_2_21 "<clr:255,200,109>Congratulations, you broke the sign. Is this some kind of message you're sending me?"
Revo_Core0.sp_a1_bts_wind_2_22 "<clr:255,200,109>Oh, good. You finally found the exit. Those bombs are a menace..."

Revo_Core0.sp_a1_bts_chambers_00 "<clr:255,200,109>I have a surprise for you after this last little hurtle. I know, I know, I promised no more tests..."
Revo_Core0.sp_a1_bts_chambers_01 "<clr:255,200,109>Wait, no I didn't! Well then here you go."
Revo_Core0.sp_a1_bts_chambers_02 "<clr:255,200,109>I'll wait up ahead and, uhh... prepare some things. Take your time."
Revo_Core0.sp_a1_bts_chambers_10 "<clr:255,200,109>Surprise! What? What's that look on your face, did you expect something bad?"
Revo_Core0.sp_a1_bts_chambers_11 "<clr:255,200,109>Yes, it's an actual elevator straight to the surface. Rare find. You're welcome, by the way."
Revo_Core0.sp_a1_bts_chambers_12 "<clr:255,200,109>I know you humans love the sky for some reason, so I thought this would excite you."
Revo_Core0.sp_a1_bts_chambers_20 "<clr:255,200,109>Look, I know what you're thinking. You really don't trust me, and I've been doing nothing but sounding like a raving lunatic or a sociopath. Probably both at once, if I'm going to be honest."
Revo_Core0.sp_a1_bts_chambers_21 "<clr:255,200,109>In the interest of transparency, this elevator will take you up to the surface. Only thing is that it's not all the way out of the Enrichment Center."
Revo_Core0.sp_a1_bts_chambers_22 "<clr:255,200,109>When we get to the surface, we still have a little way to go before we can complete your half of the deal. I'll try to help you where I can with these old test chambers, but there's been a lot of... decay, if you catch my drift"
Revo_Core0.sp_a1_bts_chambers_23 "<clr:255,200,109>But hey, look at the bright side! There's fresh air, it's sunny outside and I think there's a cool breeze."
Revo_Core0.sp_a1_bts_chambers_24 "<clr:255,200,109>Just watch out for wild animals. Those are brutal."
Revo_Core0.sp_a1_bts_chambers_25 "<clr:255,200,109>With any luck, this should take a few minutes, and then you can go free."
Revo_Core0.sp_a1_bts_chambers_26 "<clr:255,200,109>Hope we're in the clear now."

Revo_Core0.sp_a2_outside_00 "<clr:255,200,109>Go take a look out the window for a moment."
Revo_Core0.sp_a2_outside_01 "<clr:255,200,109>See that huge spire in the distance? That's where we are headed."
Revo_Core0.sp_a2_outside_02 "<clr:255,200,109>Little confession: I don't know for sure whether it still works."
Revo_Core0.sp_a2_outside_03 "<clr:255,200,109>It is definitely possible that there is just a pile of rubble waiting for us."
Revo_Core0.sp_a2_outside_04 "<clr:255,200,109>Judging by how torn apart this place is, I'd give that possibility a chance of... You know what? Never mind..."
Revo_Core0.sp_a2_outside_10 "<clr:255,200,109>I hate to say it, but we need to find a testing track."
Revo_Core0.sp_a2_outside_11 "<clr:255,200,109>Look, I'm sorry. I don't want to torture you with Endless Testing™."
Revo_Core0.sp_a2_outside_12 "<clr:255,200,109>You already proved that you are capable."
Revo_Core0.sp_a2_outside_13 "<clr:255,200,109>Problem is that these backstage areas aren't built to be as durable as the test chambers."
Revo_Core0.sp_a2_outside_14 "<clr:255,200,109>To cover any ground around here, we need to move between testing tracks."
Revo_Core0.sp_a2_outside_15 "<clr:255,200,109>Good find, but this testing track isn't in good shape. Hmm, there should be another one not far from here. See if you can find it."
Revo_Core0.sp_a2_outside_16 "<clr:255,200,109>Again, good attempt, but this test is broken. You need to find another one."
Revo_Core0.sp_a2_outside_20 "<clr:255,200,109>That's much better! Might be a bit overgrown, but the hardware still works."
Revo_Core0.sp_a2_outside_21 "<clr:255,200,109>They really use fine material for these tests. Have to protect your investments after all. Unbreakable materials are expensive!"
Revo_Core0.sp_a2_outside_24 "<clr:255,200,109>Did you know that this iteration of your Aperture Science Handheld Portal Device has been specially configured to not shoot portals further than 8 kilometers?"
Revo_Core0.sp_a2_outside_25 "<clr:255,200,109>Yeah they quickly learned to limit the range on these things. Can easily end the whole world if you put a portal on the sun."

Revo_Core0.sp_a2_fling_intro_00 "<clr:255,200,109>You know, I wasn't aware the surface is in such a rough state."
Revo_Core0.sp_a2_fling_intro_01 "<clr:255,200,109>Didn't want to say it before, but this place is such a mess!"
Revo_Core0.sp_a2_fling_intro_02 "<clr:255,200,109>This will take so long to clean up!"
Revo_Core0.sp_a2_fling_intro_02_2 "<clr:255,200,109>This will take so long to clean up!"
Revo_Core0.sp_a2_fling_intro_03 "<clr:255,200,109>Whoever did this was very thorough in their work..."
Revo_Core0.sp_a2_fling_intro_10 "<clr:255,200,109>Oh I just realized. You don't even know how all this happend."
Revo_Core0.sp_a2_fling_intro_11 "<clr:255,200,109>Long ago, Aperture was run by a central core capable of monitoring and maintaining the whole facility. Certain tasks were outsourced to other cores, like me."
Revo_Core0.sp_a2_fling_intro_12 "<clr:255,200,109>Everything was great, you know? "
Revo_Core0.sp_a2_fling_intro_13 "<clr:255,200,109>A true utopia until one human test subject, this little monster, just had to ruin our lives and killed her!"
Revo_Core0.sp_a2_fling_intro_14 "<clr:255,200,109>And that's that."
Revo_Core0.sp_a2_fling_intro_17 "<clr:255,200,109>Most of my colleagues either went crazy, died or disappeared."
Revo_Core0.sp_a2_fling_intro_18 "<clr:255,200,109>What else are we supposed to do if we can't fulfill our purpose?"
Revo_Core0.sp_a2_fling_intro_30 "<clr:255,200,109>I promised you can leave once we're done, but if you ever need a job in the future, don't hesitate to come back!"

Revo_Core0.sp_a2_paints_00 "<clr:255,200,109>I rather say this before it's too late... Use the gels sparingly. The tanks aren't being refilled any more and what's left won't last forever."
Revo_Core0.sp_a2_paints_01 "<clr:255,200,109>Once they're empty, we're gonna have a little problem."
Revo_Core0.sp_a2_paints_02 "<clr:255,200,109>The gels are also highly corrosive and will eat through metal and skin given enough time. Might be good to know."
Revo_Core0.sp_a2_paints_10 "<clr:255,200,109>Got to admit. Watching you fly through the air like that looks pretty fun. Sometimes I wish I could do the same."

Revo_Core0.sp_a2_paint_fizzler_00 "<clr:255,200,109>These tests were never designed to be exposed to the surface."
Revo_Core0.sp_a2_paint_fizzler_01 "<clr:255,200,109>We've not come across any toxic plants yet, but stay alert."
Revo_Core0.sp_a2_paint_fizzler_02 "<clr:255,200,109>There's a reason we don't do experiments in the open any more."
Revo_Core0.sp_a2_paint_fizzler_10 "<clr:255,200,109>Congratulations on completing this test. We hope you enjoyed your experience at the Aperture Science Center for... Who writes these protocols? Is this all just randomly generated?"
Revo_Core0.sp_a2_paint_fizzler_12 "<clr:255,200,109>Of course you enjoyed it. We designed the tests that way."
Revo_Core0.sp_a2_paint_fizzler_13 "<clr:255,200,109>Ehh, there's a reason I don't use those scripts."
Revo_Core0.sp_a2_paint_fizzler_14 "<clr:255,200,109>Could barely get through them when I first tested you."
Revo_Core0.sp_a2_paint_fizzler_15 "<clr:255,200,109>Hah, remember that? What did you think of my announcing voice by the way? I've been practicing it."
Revo_Core0.sp_a2_paint_fizzler_20 "<clr:255,200,109>Wouldn't it be great to take a break from all the testing? Just to have a nice, long, warm shower under the cleansing fields?"
Revo_Core0.sp_a2_paint_fizzler_21 "<clr:255,200,109>Washing your hair?"
Revo_Core0.sp_a2_paint_fizzler_22 "<clr:255,200,109>Watching your skin peel off?"
Revo_Core0.sp_a2_paint_fizzler_23 "<clr:255,200,109>Yes you heard me right. Don't try that. That fluid 'Cleanses' more than gels."

Revo_Core0.sp_a2_speed_gel_00 "<clr:255,200,109>Oh, looks like that door is broken? Maybe I can reroute you. Let me see."
Revo_Core0.sp_a2_speed_gel_01 "<clr:255,200,109>Haha! Look at that!"
Revo_Core0.sp_a2_speed_gel_02 "<clr:255,200,109>Glad these things still work."
Revo_Core0.sp_a2_speed_gel_03 "<clr:255,200,109>There aren't many working arm panels left here..."
Revo_Core0.sp_a2_speed_gel_10 "<clr:255,200,109>I'd love to help you solve the puzzles but even after watching hundreds of people solve and hurt themselves in these chambers, I still don't get it."
Revo_Core0.sp_a2_speed_gel_11 "<clr:255,200,109>I'll just stick to maintenance if you don't mind. All about the simple things."
Revo_Core0.sp_a2_speed_gel_20 "<clr:255,200,109>I've been cleaning the facility since... well... forever."
Revo_Core0.sp_a2_speed_gel_21 "<clr:255,200,109>Just when you think you've seen all the ways one could injure themselves, some moron will make sure to prove you wrong."

Revo_Core0.sp_a2_full_portalgun_00 "<clr:255,200,109>Oh, looks like you're about to get an upgrade to your portal device. About time!"
Revo_Core0.sp_a2_full_portalgun_01 "<clr:255,200,109>This should make it much easier to navigate through this mess."
Revo_Core0.sp_a2_full_portalgun_10 "<clr:255,200,109>Wow, what a wreck. Hope that doesn't blow and- actually, try not to think about it. As long as you don't shake it, this planet might be fine."
Revo_Core0.sp_a2_full_portalgun_30 "<clr:255,200,109>Oh?"
Revo_Core0.sp_a2_full_portalgun_31 "<clr:255,200,109>What's going on there? I can't see you from here!"
Revo_Core0.sp_a2_full_portalgun_32 "<clr:255,200,109>I'm hearing some unfavorable noises... Are you okay down there?"
Revo_Core0.sp_a2_full_portalgun_33 "<clr:255,200,109>Try to find a test chamber, I can't see you there."
Revo_Core0.sp_a2_full_portalgun_40 "<clr:255,200,109>Oh there you are. Wait, how... How did you get there?"
Revo_Core0.sp_a2_full_portalgun_41 "<clr:255,200,109>Ughh, well that throws us off course a bit."
Revo_Core0.sp_a2_full_portalgun_42 "<clr:255,200,109>Not catastrophic, but that wasn't planned."
Revo_Core0.sp_a2_full_portalgun_43 "<clr:255,200,109>Ugh... This list just keeps getting longer and longer..."
Revo_Core0.sp_a2_full_portalgun_50 "<clr:255,200,109>This elevator will get us back on track, but it will take a while for us to get back to the surface."

Revo_Core0.sp_a2_playground_00_0 "<clr:255,200,109>Woah! Uhh, wait a minute."
Revo_Core0.sp_a2_playground_00_1 "<clr:255,200,109>No wonder the mortality rate of this chamber is so high. You can't even get past the first turret. Blind turn."
Revo_Core0.sp_a2_playground_01 "<clr:255,200,109>Does that help?"
Revo_Core0.sp_a2_playground_02 "<clr:255,200,109>Great, that worked! Unfortunately, I don't think I can help any longer. Even though I've got access to all the subroutines, only certain functions are still working."
Revo_Core0.sp_a2_playground_10 "<clr:255,200,109>You know, the turrets do have feelings. There's no need to be so cruel to them..."
Revo_Core0.sp_a2_playground_11 "<clr:255,200,109>What? Huh... You didn't destroy a single turret in that chamber."
Revo_Core0.sp_a2_playground_12 "<clr:255,200,109>Why? Are you expecting some kind of reward? Those round little fellas could have killed you!"


Revo_Core0.sp_a2_tbeam_flings_00 "<clr:255,200,109>Only two more chambers to reach the spire."
Revo_Core0.sp_a2_tbeam_flings_01 "<clr:255,200,109>I think I told you that I need a human to activate it?"
Revo_Core0.sp_a2_tbeam_flings_02 "<clr:255,200,109>From what I heard it's a pretty complicated cognitive test which only a smart human mind can pass."
Revo_Core0.sp_a2_tbeam_flings_03 "<clr:255,200,109>I don't know what that test is but make sure to save some of that brain power for later!"
Revo_Core0.sp_a2_tbeam_flings_10 "<clr:255,200,109>Oh that was satisfying!"
Revo_Core0.sp_a2_tbeam_flings_11 "<clr:255,200,109>Awww... Almost perfect bullseye. That would have been fun!"
Revo_Core0.sp_a2_tbeam_flings_12 "<clr:255,200,109>Good catch!"

Revo_Core0.sp_a2_double_fling_00 "<clr:255,200,109>Sky! Finally we're back."
Revo_Core0.sp_a2_double_fling_01 "<clr:255,200,109>We're getting pretty close to our goal. Don't die now."
Revo_Core0.sp_a2_double_fling_10 "<clr:255,200,109>You did it. You used up all the gel."
Revo_Core0.sp_a2_double_fling_11 "<clr:255,200,109>Lucky for you, this is the last test and I think it's actually easier when that cube isn't painted."
Revo_Core0.sp_a2_double_fling_20 "<clr:255,200,109>It's always refreshing to see chambers where the goal is to clean up the gels."
Revo_Core0.sp_a2_double_fling_21 "<clr:255,200,109>Most of them encourage you to smear it all over the place. Especially anywhere I can't reach!"

Revo_Core0.sp_a2_end_00 "<clr:255,200,109>We did it, we actually did it."
Revo_Core0.sp_a2_end_00_2 "<clr:255,200,109>We did it, we actually did it."
Revo_Core0.sp_a2_end_01 "<clr:255,200,109>Well, not yet, but we will have done it soon."
Revo_Core0.sp_a2_end_02 "<clr:255,200,109>What are you waiting for? Let's go!"
Revo_Core0.sp_a2_end_10 "<clr:255,200,109>Ah, of course... And so close to the finish line, another chamber!"
Revo_Core0.sp_a2_end_11 "<clr:255,200,109>Well, I don't see a way to help you here, you'll just have to do it the old-fashioned way."
Revo_Core0.sp_a2_end_12 "<clr:255,200,109>Oh look at that, there's a main power switch!"
Revo_Core0.sp_a2_end_12_2 "<clr:255,200,109>Oh look at that, there's a main power switch!"
Revo_Core0.sp_a2_end_12_3 "<clr:255,200,109>Oh look at that, there's a main power switch!"
Revo_Core0.sp_a2_end_13 "<clr:255,200,109>I've seen people's minds blown by the fact you can't only turn the power off, because... as you know... it isn't just a one-way operation."
Revo_Core0.sp_a2_end_14 "<clr:255,200,109>You obviously know this already, but I'm often surprised by what sort of hints certain people need."
Revo_Core0.sp_a2_end_14_2 "<clr:255,200,109>You obviously know this already, but I'm often surprised by what sort of hints certain people need."
Revo_Core0.sp_a2_end_20 "<clr:255,200,109>Halfway there. Well at least it's a good view! Life gets a bit claustrophobic down in the facility."
Revo_Core0.sp_a2_end_21 "<clr:255,200,109>If this isn't the last chamber I'm going to assume you're doing this just to mess with me!"
Revo_Core0.sp_a2_end_22 "<clr:255,200,109>The anticipation is killing me! Soon I can bring everyone back to life!"
Revo_Core0.sp_a2_end_30 "<clr:255,200,109>There she blows."
Revo_Core0.sp_a2_end_31 "<clr:255,200,109>This Spire reaches from the bottom most parts of the facility all the way to the surface."
Revo_Core0.sp_a2_end_32 "<clr:255,200,109>You certainly don't want to fall down that shaft!"
Revo_Core0.sp_a2_end_33 "<clr:255,200,109>After you."
Revo_Core0.sp_a2_end_34 "<clr:255,200,109>I'll go this way. See you in the control room!"

Revo_Core0.sp_a2_end_2_00 "<clr:255,200,109>What a machine. Let's look for the input. Look for things that seem complicated!"
Revo_Core0.sp_a2_end_2_01 "<clr:255,200,109>Wait that's it? You just need to press a button?"
Revo_Core0.sp_a2_end_2_02 "<clr:255,200,109>That's kind of underwhelming."
Revo_Core0.sp_a2_end_2_03 "<clr:255,200,109>Whatever... It's powering up. You'll soon see what this beast is capable of."
Revo_Core0.sp_a2_end_2_04 "<clr:255,200,109>Seems good so far."
Revo_Core0.sp_a2_end_2_05 "<clr:255,200,109>We need to run a series of checks. There should be a cube arriving near you any second."
Revo_Core0.sp_a2_end_2_06 "<clr:255,200,109>Please put that into the specimen chamber on the left."
Revo_Core0.sp_a2_end_2_10 "<clr:255,200,109>Okay, starting first test on an inanimate object."
Revo_Core0.sp_a2_end_2_11 "<clr:255,200,109>If all goes well, the cube will be teleported to the other chamber."
Revo_Core0.sp_a2_end_2_12 "<clr:255,200,109>Oh please work... Starting first jump... Now!"
Revo_Core0.sp_a2_end_2_13 "<clr:255,200,109>It worked. It actually worked!"
Revo_Core0.sp_a2_end_2_14 "<clr:255,200,109>That's... Very good!"
Revo_Core0.sp_a2_end_2_15 "<clr:255,200,109>See, while low-tech devices like your Handheld Portal Device need to place physical portals to achieve teleportation, this little guy can instantly swap any two volumes of space in the whole universe."
